P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;1520-1548;1682905160;01.05.23;04:39:20;28;0:5:12;buy_ascent;sell_ch_deriv_N2;100,00;100,47;+0,47;+1,17;1520-5549;1590;4,18;4044;-0,98;1,59;1,57;1,74;1,74;1,97;2,91;0,32;0,12;0,08;0,06;0,03;0,02;85,11;85,11;89,36;87,23;82,98;89,36;85,11;85,11;89,36;87,23;82,98;89,36;35,64
S;5550-6454;1682949639;01.05.23;17:00:39;904;2:45:54;buy_ascent;sell_step_base;100,47;102,05;+1,58;+2,29;5550-7287;7267;5,52;5642;-1,56;0,90;1,02;1,17;1,28;1,40;0,83;0,18;0,08;0,05;0,04;0,02;0,01;89,47;89,47;92,86;88,37;88,37;79,55;72,34;72,34;82,98;80,85;80,85;74,47;55,04
S;7288-8810;1682968782;01.05.23;22:19:42;1522;4:40:8;buy_ascent;final_sell;102,05;98,32;-3,65;-2,98;7288-8809;7288;0,00;8391;-5,92;1,53;2,29;2,39;2,41;3,47;4,08;0,31;0,17;0,11;0,08;0,06;0,03;97,56;97,67;97,67;100,00;100,00;97,73;85,11;89,36;89,36;91,49;93,62;91,49;35,24
L;3340-5137;1683011753;02.05.23;10:15:53;1797;5:33:39;buy_ascent;sell_step_long;102,05;100,88;-1,14;-0,45;3340-5669;3712;0,30;5593;-3,68;0,80;1,15;1,29;1,44;1,31;1,83;0,16;0,09;0,06;0,05;0,02;0,02;87,50;92,50;92,68;92,68;90,48;86,96;74,47;78,72;80,85;80,85;80,85;85,11;56,00
L;5670-5799;1683037717;02.05.23;17:28:37;129;0:23:54;buy_ascent;sell_step_base;100,88;100,46;-0,42;+0,28;5670-7797;7368;3,84;5869;-0,76;1,19;2,87;2,59;2,33;1,32;1,53;0,24;0,22;0,12;0,08;0,02;0,01;95,24;97,78;93,33;93,33;80,43;84,78;85,11;93,62;89,36;89,36;78,72;82,98;35,79
S;1687-4937;1683079822;03.05.23;05:10:22;3250;9:56:53;buy_ascent;sell_step_long;100,88;100,84;-0,04;+0,66;1687-7764;5186;3,24;7541;-9,56;1,21;1,41;1,58;1,55;1,44;3,55;0,24;0,11;0,07;0,05;0,02;0,03;97,50;97,50;95,12;97,56;95,35;97,87;82,98;82,98;82,98;85,11;87,23;97,87;36,31
L;140-1037;1683149149;04.05.23;00:25:49;897;2:45:40;buy_ascent;sell_step_base;100,88;102,45;+1,55;+2,27;140-2172;561;2,89;2166;-0,59;1,78;2,70;3,08;3,95;3,49;5,21;0,36;0,20;0,14;0,13;0,06;0,04;95,56;95,65;95,74;97,92;100,00;97,92;89,58;91,67;93,75;97,92;100,00;97,92;65,87
S;2173-3896;1683171613;04.05.23;06:40:13;1723;5:18:55;buy_ascent;sell_step_long;102,45;101,39;-1,03;-0,33;2173-4417;3074;2,22;4417;-1,94;0,39;0,74;0,94;0,99;1,37;1,57;0,08;0,06;0,04;0,03;0,02;0,01;85,71;100,00;100,00;93,10;86,11;77,50;37,50;56,25;56,25;56,25;64,58;64,58;52,76
L;4418-5113;1683196567;04.05.23;13:36:07;695;2:9:9;buy_ascent;sell_exch;101,39;97,89;-3,45;-2,78;4418-5112;4433;0,22;5112;-3,15;0,68;1,20;1,36;1,15;1,59;1,62;0,14;0,09;0,06;0,04;0,03;0,01;89,19;94,87;92,68;90,48;93,48;89,13;68,75;77,08;79,17;79,17;89,58;85,42;37,64
S;5113-6256;1683204316;04.05.23;15:45:16;1143;3:32:8;buy_ascent_exch;sell_step_base;97,89;99,43;+1,57;+2,28;5113-7780;7219;5,28;5113;0,00;0,79;1,38;1,27;1,45;2,20;2,01;0,16;0,10;0,06;0,05;0,04;0,02;100,00;97,30;94,87;95,12;97,78;88,89;60,42;75,00;77,08;81,25;91,67;83,33;40,13
S;7090-8749;1683312727;05.05.23;21:52:07;1659;5:7:45;buy_ascent;final_sell;97,89;95,30;-2,64;-1,96;7090-8748;7095;0,39;8021;-4,08;0,89;1,52;1,30;1,30;1,44;2,07;0,18;0,11;0,06;0,04;0,02;0,02;91,89;97,56;90,48;85,71;80,49;84,09;70,83;83,33;79,17;75,00;68,75;77,08;35,32
L;1185-1977;1683333588;06.05.23;03:39:48;792;2:27:2;buy_ascent;sell_step_base;97,89;92,11;-5,91;-5,25;1185-3575;1188;0,23;3575;-8,72;1,86;1,81;2,30;2,20;1,44;1,66;0,37;0,14;0,11;0,07;0,02;0,01;100,00;100,00;97,67;95,45;86,96;91,30;89,58;89,58;87,50;87,50;83,33;87,50;37,48
S;3576-5575;1683360124;06.05.23;11:02:04;1999;6:10:21;buy_ascent;sell_ch_deriv_N2;92,11;98,84;+7,32;+8,07;3576-7778;5839;10,50;3576;0,00;0,92;1,20;1,40;1,49;1,43;2,33;0,18;0,09;0,06;0,05;0,02;0,02;97,14;95,12;97,62;95,35;95,24;91,30;70,83;81,25;85,42;85,42;83,33;87,50;39,56
S;6349-7706;1683477047;07.05.23;19:30:47;1357;4:11:22;buy_ascent;sell_step_base;92,11;91,74;-0,40;+0,30;6349-7801;7206;0,84;6548;-1,85;0,48;1,00;0,99;1,00;1,26;0,77;0,10;0,07;0,05;0,03;0,02;0,01;83,33;93,10;83,33;83,33;84,62;75,00;41,67;56,25;62,50;62,50;68,75;68,75;38,82
