P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;1520-1548;1682905160;01.05.23;04:39:20;28;0:5:12;buy_ascent;sell_ch_deriv_N2;100,00;100,47;+0,47;+1,17;1520-5549;1590;4,18;4044;-0,98;1,59;1,57;1,74;1,74;1,97;2,91;0,32;0,12;0,08;0,06;0,03;0,02;85,11;85,11;89,36;87,23;82,98;89,36;85,11;85,11;89,36;87,23;82,98;89,36;35,64
S;5550-8810;1682949639;01.05.23;17:00:39;3260;9:59:11;buy_ascent;final_sell;100,47;101,93;+1,45;+2,17;5550-8809;7267;5,52;5642;-1,56;0,90;1,02;1,17;1,28;1,40;0,83;0,18;0,08;0,05;0,04;0,02;0,01;89,47;89,47;92,86;88,37;88,37;79,55;72,34;72,34;82,98;80,85;80,85;74,47;55,04
L;3340-8777;1683011753;02.05.23;10:15:53;5437;16:43:57;buy_ascent;final_sell;100,47;101,68;+1,20;+1,91;3340-8776;7368;3,38;5593;-3,68;0,80;1,15;1,29;1,44;1,31;1,83;0,16;0,09;0,06;0,05;0,02;0,02;87,50;92,50;92,68;92,68;90,48;86,96;74,47;78,72;80,85;80,85;80,85;85,11;56,00
S;1687-6704;1683079822;03.05.23;05:10:22;5017;15:34:47;buy_ascent;sell_rules;100,47;99,68;-0,78;-0,08;1687-7764;5186;3,24;7541;-9,56;1,21;1,41;1,58;1,55;1,44;3,55;0,24;0,11;0,07;0,05;0,02;0,03;97,50;97,50;95,12;97,56;95,35;97,87;82,98;82,98;82,98;85,11;87,23;97,87;36,31
L;140-8753;1683149149;04.05.23;00:25:49;8613;2:34:8;buy_ascent;final_sell;100,47;95,31;-5,13;-4,46;140-8752;561;2,89;7246;-5,75;1,78;2,70;3,08;3,95;3,49;5,21;0,36;0,20;0,14;0,13;0,06;0,04;95,56;95,65;95,74;97,92;100,00;97,92;89,58;91,67;93,75;97,92;100,00;97,92;65,87
S;7090-8749;1683312727;05.05.23;21:52:07;1659;5:7:45;buy_ascent;final_sell;100,47;97,82;-2,64;-1,96;7090-8748;7095;0,39;8021;-4,08;0,89;1,52;1,30;1,30;1,44;2,07;0,18;0,11;0,06;0,04;0,02;0,02;91,89;97,56;90,48;85,71;80,49;84,09;70,83;83,33;79,17;75,00;68,75;77,08;35,32
L;1185-3590;1683333588;06.05.23;03:39:48;2405;7:24:51;buy_ascent;sell_rules;100,47;89,51;-10,91;-10,28;1185-3590;1188;0,23;3590;-10,12;1,86;1,81;2,30;2,20;1,44;1,66;0,37;0,14;0,11;0,07;0,02;0,01;100,00;100,00;97,67;95,45;86,96;91,30;89,58;89,58;87,50;87,50;83,33;87,50;37,48
S;3591-5575;1683360290;06.05.23;11:04:50;1984;6:7:35;buy_ascent;sell_ch_deriv_N2;89,51;94,58;+5,67;+6,41;3591-7778;5839;8,72;3889;-1,52;2,45;2,64;2,92;3,04;3,02;3,92;0,49;0,20;0,13;0,10;0,05;0,03;100,00;100,00;100,00;100,00;100,00;97,87;89,58;93,75;95,83;95,83;95,83;95,83;44,04
S;6349-8780;1683477047;07.05.23;19:30:47;2431;7:29:10;buy_ascent;final_sell;89,51;91,58;+2,32;+3,04;6349-8779;8755;3,96;6548;-1,85;0,48;1,00;0,99;1,00;1,26;0,77;0,10;0,07;0,05;0,03;0,02;0,01;83,33;93,10;83,33;83,33;84,62;75,00;41,67;56,25;62,50;62,50;68,75;68,75;38,82
S;357-1568;1683497173;08.05.23;01:06:13;1211;3:42:12;buy_ascent;sell_ch_deriv_N1;89,51;100,27;+12,02;+12,80;357-6519;6514;21,44;743;-1,59;0,43;0,90;1,21;1,28;0,74;-0,01;0,09;0,07;0,06;0,04;0,01;-0,00;100,00;100,00;97,37;94,74;80,00;53,66;52,08;68,75;77,08;75,00;66,67;45,83;57,82
S;6520-6856;1683565448;08.05.23;20:04:08;336;1:1:38;buy_ascent;sell_ch_deriv_N2;100,27;109,93;+9,63;+10,41;6520-7799;6851;9,63;6579;-1,45;0,57;1,12;1,28;1,47;2,06;2,21;0,11;0,08;0,06;0,05;0,03;0,02;81,82;82,05;90,00;87,80;86,67;86,96;56,25;66,67;75,00;75,00;81,25;83,33;45,02
S;1714-8745;1683598688;09.05.23;05:18:08;7031;21:41:50;buy_ascent;final_sell;100,27;96,92;-3,34;-2,66;1714-8744;6193;2,65;5253;-4,49;0,81;1,36;1,47;1,72;1,44;0,78;0,16;0,10;0,07;0,06;0,02;0,01;93,75;94,59;89,19;91,89;86,49;59,52;62,50;72,92;68,75;70,83;66,67;52,08;62,85
S;6487-6543;1683738744;10.05.23;20:12:24;56;0:10:30;buy_ascent;sell_ch_deriv_N2;100,27;110,16;+9,86;+10,63;6487-7084;6534;16,25;7084;-0,05;1,13;1,29;1,57;1,80;1,44;0,55;0,23;0,10;0,07;0,06;0,02;0,00;94,59;88,10;92,86;95,24;81,40;70,21;72,92;77,08;81,25;83,33;72,92;68,75;66,44
L;7085-7114;1683745472;10.05.23;22:04:32;29;0:5:26;buy_ascent;sell_ch_deriv_N2;110,16;109,04;-1,01;-0,32;7085-7508;7486;2,91;7143;-1,24;2,33;2,90;3,15;3,10;5,14;-3,45;0,47;0,22;0,15;0,10;0,09;-0,03;100,00;97,87;95,74;97,87;100,00;6,25;97,92;95,83;93,75;95,83;100,00;6,25;45,01
L;7509-8670;1683750243;10.05.23;23:24:03;1161;3:35:52;buy_ascent;final_sell;109,04;107,28;-1,61;-0,92;7509-8669;7640;0,48;7877;-3,06;1,08;1,75;2,02;1,85;2,93;8,07;0,22;0,13;0,09;0,06;0,05;0,07;87,50;95,35;95,45;95,45;95,65;100,00;72,92;85,42;87,50;87,50;91,67;100,00;36,77
S;1085-8667;1683764496;11.05.23;03:21:36;7582;23:38:23;buy_ascent;final_sell;109,04;121,56;+11,49;+12,27;1085-8666;6851;13,13;1088;-0,33;0,61;1,05;1,47;1,51;1,78;0,53;0,12;0,08;0,07;0,05;0,03;0,00;82,76;86,11;91,89;89,19;89,74;53,33;47,06;60,78;66,67;64,71;68,63;47,06;47,50
